scenario,treatment_var,panel,sample_group,period,treatment_group,n_couples
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,2019,"Wife key (non-edu), husband not / edu",158
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,2019,All other couples,786
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,baseline,"Wife key (non-edu), husband not / edu",157
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,baseline,All other couples,786
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ca,"Wife key (non-edu), husband not / edu",154
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ca,All other couples,777
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cb,"Wife key (non-edu), husband not / edu",142
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cb,All other couples,737
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cc,"Wife key (non-edu), husband not / edu",142
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cc,All other couples,721
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cd,"Wife key (non-edu), husband not / edu",137
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cd,All other couples,699
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ce,"Wife key (non-edu), husband not / edu",136
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ce,All other couples,679
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cf,"Wife key (non-edu), husband not / edu",126
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cf,All other couples,653
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cg,"Wife key (non-edu), husband not / edu",121
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cg,All other couples,634
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ch,"Wife key (non-edu), husband not / edu",118
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ch,All other couples,656
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ci,"Wife key (non-edu), husband not / edu",131
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ci,All other couples,670
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Young kids: 0-10,2019,"Wife key (non-edu), husband not / edu",50
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Young kids: 0-10,2019,All other couples,291
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Young kids: 0-10,baseline,"Wife key (non-edu), husband not / edu",50
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Young kids: 0-10,baseline,All other couples,291
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Young kids: 0-10,ca,"Wife key (non-edu), husband not / edu",49
2019_only,treat_wife_key_notedu_husb_not_or_edu,covid_wave,Young kids: 0-10,ca,All other couples,289
