treatment_var,panel,sample_group,period,treatment_group,2019_only,combined,gain
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,2019,"Wife key (non-edu), husband not / edu",158,192,34
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,2019,All other couples,786,953,167
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,baseline,"Wife key (non-edu), husband not / edu",157,191,34
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,baseline,All other couples,786,953,167
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ca,"Wife key (non-edu), husband not / edu",154,187,33
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ca,All other couples,777,942,165
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cb,"Wife key (non-edu), husband not / edu",142,172,30
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cb,All other couples,737,890,153
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cc,"Wife key (non-edu), husband not / edu",142,172,30
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cc,All other couples,721,863,142
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cd,"Wife key (non-edu), husband not / edu",137,166,29
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cd,All other couples,699,843,144
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ce,"Wife key (non-edu), husband not / edu",136,164,28
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ce,All other couples,679,812,133
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cf,"Wife key (non-edu), husband not / edu",126,153,27
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cf,All other couples,653,774,121
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cg,"Wife key (non-edu), husband not / edu",121,148,27
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,cg,All other couples,634,756,122
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ch,"Wife key (non-edu), husband not / edu",118,148,30
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ch,All other couples,656,782,126
treat_wife_key_notedu_husb_not_or_edu,covid_wave,All couples,ci,"Wife key (non-edu), husband not / edu",131,160,29
