industry,n,mean_y,mean_p,diff_p,diff_y,score_p,score_y
Human health activities,995,0.6914572864321608,0.6552499312142952,0.301547558820334,0.33775491403819957,9.511901785623646,10.654012861225898
"Computer programming, consultancy and related activities",237,0.05907172995780591,0.13643824760164958,-0.2172641247923116,-0.2946306424361553,3.344738686573181,4.535781086491604
Residential care activities,150,0.6466666666666666,0.5489779112448121,0.19527553885085092,0.29296429427270543,2.3916271471580863,3.5880651691135226
"Retail trade, except of motor vehicles and motorcycles",682,0.4706744868035191,0.4261738527557232,0.07247148036176204,0.1169721144095579,1.8926021102420942,3.0547419407733813
Postal and courier activities,74,0.6621621621621622,0.5225713712402581,0.16886899884629691,0.308459789768201,1.452666055595692,2.6534714433896522
Legal and accounting activities,207,0.17391304347826086,0.2567944027675152,-0.09690796962644599,-0.17978932891570032,1.3942628867842237,2.586717993507464
Food and beverage service activities,231,0.19913419913419914,0.27747381047195985,-0.07622856192200134,-0.15456817325976205,1.158573836133402,2.34923284556951
Education,1328,0.29066265060240964,0.3089648134736972,-0.04473755892026399,-0.06303972179155154,1.6303142361444785,2.2972767929186633
"Financial service activities, except insurance and pension funding",203,0.2019704433497537,0.27825369371485215,-0.07544867867910904,-0.1517319290442075,1.0749782008152347,2.1618472178139028
"Insurance, reinsurance and pension funding, except compulsory social security",70,0.1,0.24359737940624338,-0.11010499298771781,-0.2537023723939612,0.9212044635463819,2.122626336188895
Activities auxiliary to financial services and insurance activities,91,0.13186813186813187,0.2575732031470859,-0.09612916924687526,-0.2218342405258293,0.9170138294423859,2.1161637825414426
Architectural and engineering activities; technical testing and analysis,181,0.19889502762430938,0.28769335366538895,-0.06600901872857223,-0.1548073447696518,0.8880605216904582,2.082719816256618
Other personal service activities,115,0.16521739130434782,0.2770098312616935,-0.0766925411322677,-0.18848498108961337,0.8224358786630881,2.0212762381922142
"Creative, arts and entertainment activities",51,0.0784313725490196,0.24674834245002808,-0.1069540299439331,-0.2752709998449416,0.7638045499888272,1.9658281438460803
Activities of head offices; management consultancy activities,95,0.15789473684210525,0.26606695033307476,-0.08763542206088643,-0.19580763555185593,0.8541644361479944,1.9084967548672438
Advertising and market research,62,0.11290322580645161,0.26550693359185784,-0.08819543880210334,-0.24079914658750956,0.6944515795796885,1.8960543762853745
Publishing activities,44,0.09090909090909091,0.27219602922801617,-0.08150634316594502,-0.26279328148487024,0.5406519166307753,1.7431734242231307
OTHER,235,0.2425531914893617,0.30333000805048915,-0.05037236434347203,-0.11114918090459949,0.7721937231320912,1.7038846785226973
"Other professional, scientific and technical activities",82,0.18292682926829268,0.2819884939978818,-0.0717138783960794,-0.1707755431256685,0.6493967886260514,1.546438315177524
