occupation,n,mean_y,mean_p,diff_p,diff_y,score_p,score_y
Nursing and Midwifery Professionals,187,0.732620320855615,0.6453188732354656,0.29161650084150437,0.37891794846165383,3.987795672585177,5.181625013604773
Caring Personal Services,286,0.6503496503496503,0.5801578199597567,0.2264554475657955,0.2966472779556891,3.8297091199484434,5.016760682980272
Health Professionals,132,0.75,0.645789305321915,0.29208693292795385,0.3962976276060388,3.3558233688795642,4.5531130969145766
Information Technology and Telecommunications Professionals,203,0.08866995073891626,0.1724312507377307,-0.1812711216562305,-0.2650324216550449,2.5827159286187684,3.7761307524041743
"Business, Finance and Related Associate Professionals",270,0.13703703703703704,0.20941621225583765,-0.14428616013812354,-0.21666533535692414,2.3708635393035893,3.5601747481322694
"Sales, Marketing and Related Associate Professionals",220,0.1318181818181818,0.21219571128314477,-0.14150666111081642,-0.22188419057577938,2.0988829720879907,3.2910743969170815
Protective Service Occupations,78,0.7051282051282052,0.5701173850548688,0.21641501266090757,0.351425832734244,1.9113256397044491,3.103708916958972
"Business, Research and Administrative Professionals",193,0.13471502590673576,0.22066330977579723,-0.13303906261816395,-0.21898734648722543,1.848237725831748,3.0422694454720167
Functional Managers and Directors,234,0.18803418803418803,0.2658939116929129,-0.08780846070104831,-0.16566818435977315,1.3432111637195716,2.5342359144959112
Administrative Occupations: Finance,218,0.2018348623853211,0.33208976114559696,-0.021612611248364222,-0.15186751000864007,0.31910638095170785,2.2422969138757955
Design Occupations,43,0.023255813953488372,0.2067361289671048,-0.14696624342685638,-0.3304465584404728,0.9637221064192136,2.166882992540569
missing,2663,0.39391663537363875,0.374001180299765,0.020298807905803795,0.04021426297967756,1.0475050296692958,2.075227418828463
"Artistic, Literary and Media Occupations",83,0.13253012048192772,0.2643291768140964,-0.08937319557986478,-0.22117225191203346,0.814228562086231,2.0149751105943516
Legal Professionals,51,0.0784313725490196,0.24683149133469423,-0.10687088105926695,-0.2752709998449416,0.7632107481800707,1.9658281438460803
Public Services and Other Associate Professionals,168,0.20238095238095238,0.29460212032421973,-0.059100252069741455,-0.1513214200130088,0.7660268177490737,1.9613497704383516
Therapy Professionals,54,0.5925925925925926,0.5557282917022648,0.2020259193083036,0.23889022019863138,1.4845812513660952,1.755477432083287
Electrical and Electronic Trades,42,0.6190476190476191,0.4334392745603185,0.07973690216635732,0.2653452466536579,0.5167541870344777,1.7196337391174328
Media Professionals,33,0.06060606060606061,0.27014148216371564,-0.08356089023024554,-0.2930963117879006,0.48002076872813304,1.6837101245348374
Managers and Proprietors in Hospitality and Leisure Services,36,0.08333333333333333,0.28391675360487145,-0.06978561878908973,-0.27036903906062787,0.4187137127345384,1.622214234363767
Sports and Fitness Occupations,26,0.038461538461538464,0.2746005236607107,-0.07910184873325049,-0.31524083393242275,0.40334187025210894,1.607419163702686
Other Elementary Services Occupations,141,0.2198581560283688,0.31865220130812055,-0.03505017108584063,-0.13384421636559238,0.4161977216824769,1.5893120114965626
Managers and Directors in Retail and Wholesale,56,0.5535714285714286,0.39293005344624593,0.039227681052284746,0.19986905617746742,0.2935530851505868,1.4956830608679137
Hairdressers and Related Services,28,0.07142857142857142,0.2709621461972105,-0.0827402261967507,-0.2822738009653898,0.43782012387566793,1.4936525579667308
Information Technology Technicians,64,0.171875,0.3130808556704806,-0.04062151672348058,-0.18182737239396118,0.3249721337878446,1.4546189791516895
Elementary Storage Occupations,56,0.5357142857142857,0.37507871440852486,0.021376342014563676,0.18201191332032451,0.15996589600199668,1.362052439911701
Elementary Security Occupations,63,0.5238095238095238,0.3723937937549833,0.018691421361022142,0.17010715141556265,0.1483585577147551,1.3501836566375631
Teaching and Educational Professionals,478,0.29497907949790797,0.31148396513552956,-0.04221840725843162,-0.058723292896053214,0.9230299505800137,1.283879749606482
Other Administrative Occupations,214,0.26635514018691586,0.34787583277025436,-0.005826539623706828,-0.08734723220704532,0.08523492648637587,1.2777798482076401
Elementary Cleaning Occupations,124,0.4596774193548387,0.35812788831493814,0.004425515920976952,0.1059750469608775,0.049280459663904715,1.1800881796360234
Elementary Sales Occupations,24,0.5833333333333334,0.41855707152883237,0.06485469913487119,0.2296309609393722,0.317721840604312,1.1249573668928734
Secretarial and Related Occupations,159,0.4339622641509434,0.4203605218679753,0.0666581494740141,0.08025989175698223,0.840527283148323,1.0120387273963176
Road Transport Drivers,138,0.43478260869565216,0.34461147366063183,-0.009090898733329356,0.08108023630169098,0.10679387945754007,0.9524771132084227
"Science, Engineering and Production Technicians",78,0.46153846153846156,0.35410135426529593,3.9898187133474705e-4,0.10783608914450038,0.0035237124776284715,0.9523825520842397
"Metal Machining, Fitting and Instrument Making Trades",47,0.48936170212765956,0.31765970472439903,-0.036042667669562156,0.13565932973369837,0.24709608041955977,0.9300335079761514
Welfare Professionals,47,0.48936170212765956,0.341782572716812,-0.011919799677149179,0.13565932973369837,0.08171802949250664,0.9300335079761514
Engineering Professionals,63,0.23809523809523808,0.3056267574243016,-0.048075614969659564,-0.1156071342987231,0.38158836400863977,0.9176031814178006
Plant and Machine Operatives,36,0.5,0.3144978657901517,-0.039204506603809475,0.14629762760603882,0.23522703962285685,0.8777857656362329
Legal Associate Professionals,27,0.18518518518518517,0.308842498855005,-0.04485987353895621,-0.168517187208776,0.23309874057176044,0.8756409905825885
Welfare and Housing Associate Professionals,114,0.2719298245614035,0.3579219058783314,0.004219533484370208,-0.08177254783255766,0.04505228919968705,0.8730918920761915
Natural and Social Science Professionals,54,0.46296296296296297,0.4085884942154645,0.05488612182150332,0.10926059056900178,0.40332897726876105,0.802898087667607
Assemblers and Routine Operatives,69,0.4492753623188406,0.3221998196563708,-0.031502552737590395,0.09557298992487939,0.2616798563129035,0.7938888787604319
inapplicable,372,0.31451612903225806,0.3140317968820436,-0.039670575511917605,-0.03918624336170312,0.7651383514490654,0.7557968912310868
Process Operatives,33,0.48484848484848486,0.3293885814936129,-0.024313790900348298,0.13114611245452368,0.13967209500187705,0.7533770588449324
Administrative Occupations: Office Managers and Supervisors,52,0.25,0.3390228844898869,-0.014679487904074306,-0.10370237239396118,0.10585529267138663,0.7478084421073766
Childcare and Related Personal Services,245,0.30612244897959184,0.3169062442694256,-0.03679612812453559,-0.04757992341436934,0.5759505065667739,0.7447436018313462
Leisure and Travel Services,35,0.22857142857142856,0.3189619974195723,-0.034740374974388866,-0.12513094382253262,0.20552683004328182,0.740284646988659
Customer Service Occupations,114,0.42105263157894735,0.3612967772180588,0.0075944048240976225,0.06735025918498616,0.0810860545844944,0.7191039876126878
Elementary Administration Occupations,24,0.5,0.45242535307959625,0.09872298068563506,0.14629762760603882,0.48364185713288976,0.7167090764290103
Health Associate Professionals,46,0.45652173913043476,0.49782949187994285,0.14412711948598167,0.10281936673647357,0.9775176838712516,0.6973548738627375
