industry,occupation,n_cell,mean_y,mean_p,mean_ind_y,mean_ind_p,mean_occ_y,mean_occ_p,diff_y_ind,diff_y_occ,score_y_ind,score_y_occ,score_total
Human health activities,missing,271,0.7343173431734318,0.6620994955839892,0.6914572864321608,0.6552499312142952,0.39391663537363875,0.374001180299765,0.042860056741271024,0.34040070779979303,0.7055655814362032,5.603702878180876,6.309268459617079
Manufacture of food products,missing,17,0.8235294117647058,0.5313577135737676,0.4883720930232558,0.35895419641141457,0.39391663537363875,0.374001180299765,0.33515731874145005,0.4296127763910671,1.381889026369804,1.771338855175231,3.153227881545035
Public administration and defence; compulsory social security,Protective Service Occupations,70,0.7142857142857143,0.5706965019615664,0.3649167733674776,0.32410845129009636,0.7051282051282052,0.5701173850548688,0.3493689409182367,0.009157509157509125,2.923030273788338,0.07661721854707625,2.999647492335414
Human health activities,Administrative Occupations: Records,17,0.8823529411764706,0.6260808005280389,0.6914572864321608,0.6552499312142952,0.3902439024390244,0.3677764852353121,0.1908956547443098,0.49210903873744616,0.7870829479822304,2.0290175460356634,2.8161004940178938
"Manufacture of motor vehicles, trailers and semi-trailers",Functional Managers and Directors,3,1,0.3040262719959897,0.19047619047619047,0.30540808851287476,0.18803418803418803,0.2658939116929129,0.8095238095238095,0.811965811965812,1.4021363680319483,1.4063660403337037,2.8085024083656522
Social work activities without accommodation,Caring Personal Services,112,0.5803571428571429,0.4670839621495519,0.3889908256880734,0.3423835756605857,0.6503496503496503,0.5801578199597567,0.1913663171690695,-0.0699925074925074,2.0252307381746717,0.7407310738519987,2.7659618120266702
Telecommunications,Electrical and Electronic Trades,7,1,0.5444624647818646,0.35,0.31930696571798245,0.6190476190476191,0.4334392745603185,0.65,0.38095238095238093,1.719738352191984,1.0079052613579393,2.7276436135499234
Food and beverage service activities,missing,37,0.08108108108108109,0.27891467290425526,0.19913419913419914,0.27747381047195985,0.39391663537363875,0.374001180299765,-0.11805311805311805,-0.31283555429255766,0.7180890830783787,1.902904387795844,2.6209934708742226
Social work activities without accommodation,Administrative Occupations: Government and Related Organisations,5,1,0.46094632285511056,0.3889908256880734,0.3423835756605857,0.4406779661016949,0.32267729283925456,0.6110091743119266,0.5593220338983051,1.3662580486374862,1.250682089110052,2.6169401377475383
"Retail trade, except of motor vehicles and motorcycles",Managers and Proprietors in Other Services,31,0.6451612903225806,0.42895666099584845,0.4706744868035191,0.4261738527557232,0.35294117647058826,0.33916948549031156,0.17448680351906154,0.29222011385199237,0.9715014064175548,1.6270127360072546,2.5985141424248095
"Computer programming, consultancy and related activities",missing,60,0.1,0.17548159955994674,0.05907172995780591,0.13643824760164958,0.39391663537363875,0.374001180299765,0.0409282700421941,-0.29391663537363877,0.3170290165249954,2.2766684679508415,2.593697484475837
OTHER,Plant and Machine Operatives,4,1,0.3972860450059864,0.2425531914893617,0.30333000805048915,0.5,0.3144978657901517,0.7574468085106383,0.5,1.5148936170212766,1,2.5148936170212766
Social work activities without accommodation,Childcare and Related Personal Services,48,0.16666666666666666,0.31049116757876544,0.3889908256880734,0.3423835756605857,0.30612244897959184,0.3169062442694256,-0.22232415902140676,-0.13945578231292519,1.5403069567003962,0.9661780015010064,2.5064849582014026
Human health activities,Other Administrative Occupations,28,0.7142857142857143,0.6147374673232198,0.6914572864321608,0.6552499312142952,0.26635514018691586,0.34787583277025436,0.022828427853553546,0.44793057409879844,0.12079668584616543,2.3702258073756215,2.491022493221787
Public administration and defence; compulsory social security,Welfare and Housing Associate Professionals,21,0.047619047619047616,0.310432614001383,0.3649167733674776,0.32410845129009636,0.2719298245614035,0.3579219058783314,-0.31729772574842996,-0.2243107769423559,1.454040846079519,1.027921114532701,2.48196196061222
Veterinary activities,Animal Care and Control Services,7,0.8571428571428571,0.40160664487625036,0.5,0.35916736621503464,0.2857142857142857,0.31353428720425947,0.3571428571428571,0.5714285714285714,0.9449111825230679,1.5118578920369088,2.456769074559977
Human health activities,"Business, Finance and Related Associate Professionals",19,0.3684210526315789,0.46956340496061205,0.6914572864321608,0.6552499312142952,0.13703703703703704,0.20941621225583765,-0.32303623380058183,0.2313840155945419,1.4080822982387142,1.0085795411272476,2.416661839365962
"Wholesale trade, except of motor vehicles and motorcycles",Road Transport Drivers,12,0.75,0.4021673624331551,0.36787564766839376,0.3037840747286717,0.43478260869565216,0.34461147366063183,0.38212435233160624,0.31521739130434784,1.3237175860953856,1.0919450743369008,2.4156626604322864
Other personal service activities,Caring Personal Services,4,1,0.39729077318896283,0.16521739130434782,0.2770098312616935,0.6503496503496503,0.5801578199597567,0.8347826086956522,0.3496503496503497,1.6695652173913045,0.6993006993006994,2.3688659166920036
Human health activities,Administrative Occupations: Office Managers and Supervisors,5,1,0.6260808005280389,0.6914572864321608,0.6552499312142952,0.25,0.3390228844898869,0.30854271356783924,0.75,0.6899224814999353,1.6770509831248424,2.3669734646247775
Specialised construction activities,"Architects, Town Planners and Surveyors",3,1,0.31049116757876544,0.36065573770491804,0.32103031567762125,0.27906976744186046,0.3049400453689159,0.639344262295082,0.7209302325581395,1.1073767458227248,1.248687791503144,2.356064537325869
Postal and courier activities,missing,36,0.7222222222222222,0.531894463303751,0.6621621621621622,0.5225713712402581,0.39391663537363875,0.374001180299765,0.06006006006006004,0.32830558684858346,0.36036036036036023,1.9698335210915008,2.3301938814518612
Social work activities without accommodation,Health Associate Professionals,4,1,0.3972919042565592,0.3889908256880734,0.3423835756605857,0.45652173913043476,0.49782949187994285,0.6110091743119266,0.5434782608695652,1.2220183486238532,1.0869565217391304,2.3089748703629835
Land transport and transport via pipelines,OTHER,9,0.7777777777777778,0.37607309464214467,0.4161849710982659,0.32531845895954015,0.39461883408071746,0.3460215947562784,0.3615928066795119,0.38315894369706033,1.0847784200385355,1.149476831091181,2.2342552511297162
